insert into seat values('S111', 'H1', '1A');
insert into seat values('S112', 'H1', '1B');
insert into seat values('S113', 'H1', '1C');
insert into seat values('S114', 'H1', '1D');
insert into seat values('S121', 'H1', '2A');
insert into seat values('S122', 'H1', '2B');
insert into seat values('S123', 'H1', '2C');
insert into seat values('S124', 'H1', '2D');
insert into seat values('S131', 'H1', '3A');
insert into seat values('S132', 'H1', '3B');
insert into seat values('S133', 'H1', '3C');
insert into seat values('S134', 'H1', '3D');
insert into seat values('S141', 'H1', '4A');
insert into seat values('S142', 'H1', '4B');
insert into seat values('S143', 'H1', '4C');
insert into seat values('S144', 'H1', '4D');
insert into seat values('S151', 'H1', '5A');
insert into seat values('S152', 'H1', '5B');
insert into seat values('S153', 'H1', '5C');
insert into seat values('S154', 'H1', '5D');
insert into seat values('S211', 'H2', '1A');
insert into seat values('S212', 'H2', '1B');
insert into seat values('S213', 'H2', '1C');
insert into seat values('S214', 'H2', '1D');
insert into seat values('S221', 'H2', '2A');
insert into seat values('S222', 'H2', '2B');
insert into seat values('S223', 'H2', '2C');
insert into seat values('S224', 'H2', '2D');
insert into seat values('S231', 'H2', '3A');
insert into seat values('S232', 'H2', '3B');
insert into seat values('S233', 'H2', '3C');
insert into seat values('S234', 'H2', '3D');
insert into seat values('S241', 'H2', '4A');
insert into seat values('S242', 'H2', '4B');
insert into seat values('S243', 'H2', '4C');
insert into seat values('S244', 'H2', '4D');
insert into seat values('S251', 'H2', '5A');
insert into seat values('S252', 'H2', '5B');
insert into seat values('S253', 'H2', '5C');
insert into seat values('S254', 'H2', '5D');
insert into seat values('S311', 'H3', '1A');
insert into seat values('S312', 'H3', '1B');
insert into seat values('S313', 'H3', '1C');
insert into seat values('S314', 'H3', '1D');
insert into seat values('S321', 'H3', '2A');
insert into seat values('S322', 'H3', '2B');
insert into seat values('S323', 'H3', '2C');
insert into seat values('S324', 'H3', '2D');
insert into seat values('S331', 'H3', '3A');
insert into seat values('S332', 'H3', '3B');
insert into seat values('S333', 'H3', '3C');
insert into seat values('S334', 'H3', '3D');
insert into seat values('S341', 'H3', '4A');
insert into seat values('S342', 'H3', '4B');
insert into seat values('S343', 'H3', '4C');
insert into seat values('S344', 'H3', '4D');
insert into seat values('S351', 'H3', '5A');
insert into seat values('S352', 'H3', '5B');
insert into seat values('S353', 'H3', '5C');
insert into seat values('S354', 'H3', '5D');
